Assay	Presumed Type
OMS00114	Neutral
Omy_101832-195	Neutral
Omy_RAD57916-29	"Adaptive. Basin-wide, top-outlier"
OMS00118	Neutral
Omy_tlr3-377	Neutral
Omy_sys1-188	Neutral
Omy_103705-558	Neutral
Omy_RAD88122-32	Neutral
Omy_RAD42793-59	Adaptive
Omy_RAD48799-69	Neutral
Omy_RAD78502-57	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier"
Omy_BAMBI2.312	Neutral
OMS00006	Neutral
Omy_G3PD_2-371	Neutral
Omy_RAD3209-10	"Adaptive. Basin-wide, top-outlier"
Omy_130524-160	Neutral
OMS00058	Neutral
Omy_RAD78147-27	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier"
Omy_116938-264	Neutral
Omy_112301-202	Neutral
OMS00039	Neutral
Omy_RAD46314-35	Adaptive-Thermal Adaptation
Omy_RAD73204-63	Adaptive
Omy_RAD5374-56	"Adaptive. Minimum annual precipitation. Basin-wide, top-outlier"
Omy_RAD88028-7	Adaptive
Omy_RAD66402-36	"Adaptive. Natal Site annual precipitation. Basin-wide, top-outlier"
Omy_RAD66834-17	Adaptive
Omy_116733-349	Neutral
Omy_star-206	Neutral
Omy_RAD78776-10	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related; "
Omy_hsp47-86	Neutral
Omy_99300-202	Neutral
Omy_RAD24287-74	"Adaptive. Basin-wide, top-outlier"
Omy_RAD13034-67	Adaptive-Thermal Adaptation
Omy_RAD45104-18	Neutral
Omy_sSOD-1	Neutral
Omy_RAD59758-41	"Adaptive. Minimum annual precipitation. Basin-wide, precipitation-related; "
Omy_RAD36952-53	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related; "
Omy_RAD65959-69	"Adaptive. Basin-wide, top-outlier"
Omy_RAD38406-19	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related"
Omy_RAD2567-8	"Adaptive. Basin-wide, top-outlier"
Omy_RAD23577-43	Adaptive
Omy_RAD36848-7	Neutral
Omy_arp-630	Neutral
OMS00057	Neutral
Omy_RAD9004-13	"Adaptive. Mean air temperature (driest quarter). Basin-wide, top-outlier"
Omy_GREB1_05	Adaptive. Run timing
Omy_RAD10733-10	"Adaptive. Air and water temperature. Basin-wide, top-outlier"
Omy_128693-455	Neutral
Omy_RAD55997-10	"Adaptive. Range of heat load index. Basin-wide, top-outlier"
OMS00138	Neutral
Omy_RAD52812-28	Neutral
Omy_RAD86706-72	"Adaptive. Mean slope. Basin-wide, elevation-related"
Omy_bcAKala-380rd	Neutral
Omy_RAD72528-44	"Adaptive. Range of annual air temperature. Basin-wide, top-outlier"
Omy_cd28-130	Neutral
OMS00154	Neutral
Omy_RAD59950-44	"Adaptive. Basin-wide, top-outlier"
Omy_RAD3651-48	"Adaptive. Natal Site Diurnal Range. Basin-wide, top-outlier"
Omy_RAD43612-42	Neutral
Omy_RAD65808-68	"Adaptive. Mean precipitation (driest quarter). Basin-wide, top-outlier"
Omy_RAD28236-38	"Adaptive. Migration Distance to Ocean. Basin-wide, migration-related"
Omy_RAD16104-20	Adaptive
Omy_RAD17849-16	"Adaptive. Basin-wide, top-outlier"
Omy_RAD33798-24	"Adaptive. Minimum annual precipitation. Basin-wide, temperature-related; "
Omy_RAD22123-69	"Adaptive. Migration Distance to Ocean. Basin-wide, top-outlier"
Omy_RAD619-59	"Adaptive. Basin-wide, top-outlier"
Omy_RAD98715-53	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier"
OmyR14589	Adaptive. Residency vs anadromy
OmyR19198	Adaptive. Residency vs anadromy
OmyR24370	Adaptive. Residency vs anadromy
OmyR33562	Adaptive. Residency vs anadromy
Omy_RAD24343-29	"Adaptive. Mean air temperature (wettest quarter). Basin-wide, temperature-related"
Omy_RAD25907-57	"Adaptive. Basin-wide, top-outlier"
Omy_Il1b-198	Neutral
Omy_RAD31079-58	"Adaptive. Maximum annual air temperature. Basin-wide, top-outlier"
Omy_aldB-165	Neutral
Omy_colla1-525	Neutral
Omy_RAD38269-10	Neutral
Omy_RAD66218-58	Adaptive
Omy_RAD10945-51	"Adaptive. Mean isothermality. Basin-wide, top-outlier"
Omy_RAD30230-25	"Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier"
Omy_RAD45246-10	"Adaptive. Realted to energy expenditure. Basin-wide, migration-related; "
Omy_RAD14269-30	"Adaptive. Basin-wide, top-outlier"
